id,first_active_month,reward_program,cardholder_fico_score,cardholder_fico_range,cardholder_age
C_ID_002f771489,2017-09,cash_back,377,bad,50
C_ID_002fdd505f,2017-10,dining_entertainment,393,bad,33
C_ID_003020001e,2016-07,dining_entertainment,390,bad,36
C_ID_0030e0945f,2017-03,cash_back,402,bad,55
C_ID_0030e70f55,2017-09,cash_back,605,bad,71
C_ID_00335cb255,2016-05,travel,680,fair,25
C_ID_003364d2f9,2012-09,cash_back,679,fair,41
C_ID_0033871586,2015-09,dining_entertainment,513,bad,27
C_ID_0036d06bf0,2013-05,cash_back,775,excellent,46
C_ID_003761255b,2017-06,cash_back,442,bad,51
C_ID_003839dd44,2016-10,cash_back,448,bad,61
C_ID_00392e46ec,2017-02,cash_back,508,bad,89
C_ID_003a5ca783,2015-10,cash_back,448,bad,41
C_ID_003d2dcda8,2017-11,dining_entertainment,423,bad,33
C_ID_003e56029c,2017-03,travel,545,bad,32
C_ID_003efdb394,2016-09,cash_back,499,bad,34
C_ID_00413e84fe,2017-07,travel,701,good,49
C_ID_0041a7b50b,2017-08,cash_back,358,bad,43
C_ID_0042fd0256,2017-07,cash_back,436,bad,57
C_ID_00442f58ef,2016-02,cash_back,551,bad,28
C_ID_0044cb53fc,2017-04,cash_back,730,excellent,28
C_ID_0046db9f8a,2016-11,dining_entertainment,431,bad,41
C_ID_0048665750,2017-10,cash_back,763,excellent,43
C_ID_004885878b,2017-12,cash_back,336,bad,54
C_ID_004b77bfe8,2017-11,cash_back,693,good,51
C_ID_004e76abd1,2016-12,travel,702,good,58
C_ID_005030a950,2017-11,dining_entertainment,792,excellent,32
C_ID_0054f59f68,2017-02,cash_back,830,excellent,49
C_ID_0059083858,2016-05,cash_back,453,bad,37
C_ID_005b2d6a18,2017-07,cash_back,481,bad,44
C_ID_005b760e6e,2016-11,dining_entertainment,777,excellent,19
C_ID_005da80fb2,2016-12,cash_back,317,bad,49
C_ID_005eb80ceb,2017-07,cash_back,809,excellent,49
C_ID_0062ce3771,2016-11,cash_back,446,bad,74
C_ID_0064573627,2017-03,cash_back,454,bad,49
C_ID_0065c0873a,2016-01,cash_back,406,bad,20
C_ID_0067036f6a,2016-09,dining_entertainment,760,excellent,21
C_ID_006785f610,2017-06,travel,678,fair,26
C_ID_0069c1a32c,2017-01,dining_entertainment,540,bad,60
C_ID_006afd86d6,2016-07,cash_back,496,bad,83
C_ID_006b9a7fed,2017-01,cash_back,440,bad,56
C_ID_006c44923a,2017-10,dining_entertainment,356,bad,61
C_ID_0071913ad1,2017-01,cash_back,557,bad,40
C_ID_007196111f,2017-05,cash_back,826,excellent,24
C_ID_0071fe3e30,2017-10,cash_back,468,bad,19
C_ID_00723f2a4f,2017-12,cash_back,354,bad,72
C_ID_00746e43ac,2016-09,cash_back,445,bad,28
C_ID_0078ec43b9,2017-08,travel,310,bad,85
C_ID_007ca51155,2017-06,travel,574,bad,24
C_ID_007ccf2073,2017-12,dining_entertainment,378,bad,80
C_ID_007cda8466,2017-02,dining_entertainment,662,fair,77
C_ID_007f1d93f3,2016-11,dining_entertainment,361,bad,35
C_ID_008082a601,2017-12,travel,637,fair,61
C_ID_0080dd37e0,2014-06,cash_back,477,bad,38
C_ID_008431f3f4,2017-03,dining_entertainment,504,bad,31
C_ID_00844a8c1b,2017-05,cash_back,818,excellent,21
C_ID_00864490c5,2016-05,cash_back,530,bad,94
C_ID_0088640ed5,2016-05,cash_back,459,bad,97
C_ID_008bdbf77a,2014-12,travel,730,excellent,75
C_ID_008cd78996,2016-06,cash_back,685,fair,18
C_ID_008d30510f,2017-01,cash_back,849,excellent,43
C_ID_008f67efe2,2017-02,dining_entertainment,847,excellent,36
C_ID_008fd02f4e,2017-08,cash_back,365,bad,38
C_ID_0090b63a7a,2016-07,cash_back,518,bad,60
C_ID_009115d07e,2017-01,cash_back,557,bad,27
C_ID_009201823e,2017-11,cash_back,442,bad,51
C_ID_00921a81b5,2015-06,cash_back,433,bad,30
C_ID_0092c92067,2016-04,cash_back,421,bad,29
C_ID_00934ad77d,2017-05,cash_back,442,bad,72
C_ID_0094314bdf,2017-11,cash_back,555,bad,37
C_ID_009590f742,2017-08,dining_entertainment,799,excellent,41
C_ID_00963f1af2,2016-12,cash_back,438,bad,69
C_ID_009973c3f7,2017-09,cash_back,775,excellent,23
C_ID_009a68cacd,2017-12,cash_back,578,bad,96
C_ID_009a8908bb,2017-10,travel,733,excellent,33
C_ID_009c8654d2,2017-07,cash_back,709,good,45
C_ID_009db81277,2015-02,travel,428,bad,94
C_ID_009f2fe840,2016-04,cash_back,697,good,25
C_ID_00a42df384,2017-05,cash_back,473,bad,56
C_ID_00a47320cc,2016-07,cash_back,340,bad,74
C_ID_00a80ad5c0,2017-02,dining_entertainment,437,bad,86
C_ID_00ad8b07b8,2016-03,cash_back,476,bad,37
C_ID_00af3335a8,2017-08,dining_entertainment,706,good,22
C_ID_00afd0d796,2016-07,dining_entertainment,336,bad,21
C_ID_00b14e2736,2016-11,travel,819,excellent,84
C_ID_00b5b9a8c5,2017-01,cash_back,828,excellent,62
C_ID_00b93fe466,2017-07,cash_back,342,bad,50
C_ID_00ba5c9c9d,2016-12,dining_entertainment,848,excellent,62
C_ID_00bc160a80,2017-10,travel,788,excellent,46
C_ID_00bc1f7018,2014-03,dining_entertainment,741,excellent,54
C_ID_00bc2cdcdc,2016-09,dining_entertainment,377,bad,59
C_ID_00c0598967,2017-10,cash_back,591,bad,71
C_ID_00c06d81e1,2014-05,dining_entertainment,614,bad,84
C_ID_00c44950b2,2017-04,cash_back,574,bad,21
C_ID_00c74ce3e5,2013-11,dining_entertainment,335,bad,68
C_ID_00c849f417,2016-12,dining_entertainment,533,bad,70
C_ID_00c87518f7,2017-11,cash_back,680,fair,41
C_ID_00c9c0b348,2017-07,cash_back,845,excellent,87
C_ID_00d189cc0d,2017-10,cash_back,324,bad,49
C_ID_00d1936678,2017-06,travel,679,fair,62
C_ID_00d1c36533,2017-07,cash_back,434,bad,44
C_ID_00d1ce017e,2017-02,cash_back,569,bad,82
C_ID_00d5520563,2016-11,dining_entertainment,672,fair,58
C_ID_00d55ba1f9,2017-07,cash_back,716,good,21
C_ID_00d74df892,2017-04,cash_back,353,bad,61
C_ID_00d7abf92d,2014-11,travel,617,bad,35
C_ID_00d96e1871,2014-05,cash_back,669,fair,37
C_ID_00dc526eb1,2017-06,dining_entertainment,451,bad,22
C_ID_00dd8167a4,2017-02,cash_back,304,bad,37
C_ID_00de28acb2,2017-10,cash_back,731,excellent,23
C_ID_00e09bac8b,2017-10,cash_back,562,bad,80
C_ID_00e1543323,2017-08,dining_entertainment,492,bad,61
C_ID_00e17588a4,2017-08,travel,650,fair,65
C_ID_00e23825a6,2017-10,cash_back,659,fair,43
C_ID_00e39e96d5,2016-01,cash_back,829,excellent,49
C_ID_00e3ec9d26,2016-05,dining_entertainment,688,fair,20
C_ID_00e5b9a814,2017-12,cash_back,835,excellent,65
C_ID_00eac14f6c,2014-09,dining_entertainment,606,bad,93
C_ID_00ee71beb8,2016-12,cash_back,467,bad,21
C_ID_00f1230922,2017-05,cash_back,492,bad,31
C_ID_00f214963b,2017-06,cash_back,822,excellent,48
C_ID_00f50add7b,2016-04,dining_entertainment,399,bad,31
C_ID_00f7454fde,2017-09,travel,685,fair,33
C_ID_00f8bd9281,2017-10,cash_back,668,fair,74
C_ID_00fb7cbe63,2017-10,dining_entertainment,636,fair,19
C_ID_00feca4d38,2017-11,travel,612,bad,76
C_ID_0105548204,2017-06,cash_back,800,excellent,46
C_ID_010bceeffa,2017-10,dining_entertainment,540,bad,22
C_ID_010d4b4214,2016-08,cash_back,412,bad,42
C_ID_010d758e31,2017-08,travel,344,bad,32
C_ID_010da3d3f6,2017-03,travel,599,bad,87
C_ID_0110592e39,2017-09,travel,711,good,35
C_ID_01112aeabf,2017-08,dining_entertainment,319,bad,56
C_ID_0112d3c22d,2015-09,cash_back,594,bad,78
C_ID_0113eae634,2017-12,travel,620,bad,30
C_ID_01157d87d4,2015-03,cash_back,459,bad,36
C_ID_011715ccb3,2016-12,travel,409,bad,59
C_ID_0117ad422f,2017-11,cash_back,479,bad,66
C_ID_01188311a1,2017-03,cash_back,459,bad,75
C_ID_0118c2bcaf,2016-05,cash_back,820,excellent,37
C_ID_0118f00b8f,2017-09,travel,798,excellent,39
C_ID_01197a6a25,2017-12,dining_entertainment,705,good,52
C_ID_011b4c6384,2017-03,dining_entertainment,434,bad,31
C_ID_011b7d9d9e,2016-10,cash_back,377,bad,88
C_ID_011bf44eb3,2017-10,cash_back,506,bad,47
C_ID_011fd53426,2017-11,travel,469,bad,39
C_ID_0123ac9245,2016-03,cash_back,794,excellent,36
C_ID_0123e5fd03,2017-07,cash_back,824,excellent,51
C_ID_0124704f68,2016-12,dining_entertainment,734,excellent,68
C_ID_012819f081,2017-04,cash_back,443,bad,39
C_ID_012c920045,2017-03,cash_back,444,bad,62
C_ID_0130a17a43,2017-09,cash_back,817,excellent,54
C_ID_013327ad31,2016-08,cash_back,701,good,61
C_ID_01348868c8,2017-05,cash_back,471,bad,34
C_ID_0134b625d2,2017-03,travel,649,fair,26
C_ID_0134f3f984,2017-05,cash_back,506,bad,69
C_ID_013532ea2a,2017-08,cash_back,793,excellent,49
C_ID_0136bb3c46,2016-10,travel,651,fair,68
C_ID_01398d09ad,2016-10,dining_entertainment,679,fair,57
C_ID_013c5617bd,2016-10,cash_back,775,excellent,94
C_ID_01400707eb,2017-12,cash_back,383,bad,62
C_ID_0140402761,2016-11,cash_back,549,bad,42
C_ID_01435a1aa8,2016-05,travel,352,bad,57
C_ID_014502fd24,2017-10,cash_back,480,bad,39
C_ID_01461e6eec,2017-03,cash_back,836,excellent,87
C_ID_0146b7f055,2017-05,cash_back,538,bad,98
C_ID_01472b44cd,2017-01,cash_back,344,bad,39
C_ID_0148d6ad75,2017-03,travel,743,excellent,49
C_ID_014a4ba118,2017-10,cash_back,810,excellent,28
C_ID_014ada68f0,2016-05,cash_back,626,bad,81
C_ID_014afee956,2016-12,travel,403,bad,39
C_ID_015006a6d1,2017-05,travel,641,fair,54
C_ID_015032920e,2017-12,cash_back,354,bad,79
C_ID_01520983c9,2016-08,dining_entertainment,535,bad,37
C_ID_01526ebf6f,2017-06,cash_back,616,bad,20
C_ID_015380e4b7,2016-04,dining_entertainment,418,bad,21
C_ID_0153bf6eb7,2016-12,cash_back,595,bad,46
C_ID_015458670e,2014-04,travel,348,bad,80
C_ID_01573f3b3d,2017-10,travel,468,bad,24
C_ID_015972ee27,2017-05,cash_back,681,fair,51
C_ID_015a963336,2017-11,cash_back,656,fair,41
C_ID_015e52320a,2016-11,dining_entertainment,570,bad,22
C_ID_015ed84694,2016-10,cash_back,600,bad,35
C_ID_015f613dde,2015-08,travel,347,bad,29
C_ID_01635a67de,2016-06,cash_back,648,fair,25
C_ID_0163ce69cb,2017-12,cash_back,448,bad,62
C_ID_016511c6af,2017-04,travel,793,excellent,36
C_ID_01676962c8,2017-10,cash_back,415,bad,28
C_ID_01690e0c0c,2016-11,cash_back,747,excellent,82
C_ID_016bca3d67,2016-07,cash_back,669,fair,33
C_ID_016c784f2e,2017-10,cash_back,519,bad,19
C_ID_016e42580b,2017-11,travel,797,excellent,33
C_ID_016edf6eb7,2016-12,travel,438,bad,27
C_ID_0170187eec,2017-01,cash_back,547,bad,36
C_ID_01726f1f56,2016-12,dining_entertainment,710,good,18
C_ID_0172b6618b,2017-08,dining_entertainment,428,bad,58
C_ID_01761f3e3a,2017-09,cash_back,646,fair,40
C_ID_01784f3170,2017-07,travel,436,bad,51
C_ID_01789c606c,2017-09,dining_entertainment,681,fair,54
C_ID_01797738ac,2017-01,dining_entertainment,505,bad,28
C_ID_017a10f90a,2017-04,cash_back,548,bad,42
C_ID_017ae0db5a,2017-07,dining_entertainment,409,bad,66
C_ID_017ba4c5e2,2017-06,dining_entertainment,803,excellent,49
C_ID_017bc88f76,2015-09,cash_back,662,fair,61
C_ID_017c51765b,2017-12,cash_back,757,excellent,23
C_ID_017cdfea87,2017-08,dining_entertainment,300,bad,47
C_ID_017fbdd196,2017-04,cash_back,841,excellent,25
C_ID_017ff3a0dd,2017-06,dining_entertainment,698,good,44
C_ID_0180ccc72d,2015-09,cash_back,359,bad,41
C_ID_0181351f59,2017-07,dining_entertainment,764,excellent,60
C_ID_01820ceab7,2017-02,cash_back,359,bad,18
C_ID_0182d9b6fa,2014-10,cash_back,362,bad,52
C_ID_018552c51e,2013-07,cash_back,687,fair,40
C_ID_0186260ea0,2017-12,cash_back,405,bad,69
C_ID_01890b34bb,2017-07,dining_entertainment,476,bad,37
C_ID_0189f720a6,2017-10,cash_back,474,bad,33
C_ID_018a43e788,2017-09,dining_entertainment,382,bad,81
C_ID_018c079b21,2017-04,dining_entertainment,634,fair,42
C_ID_01904d743d,2017-07,cash_back,361,bad,24
C_ID_0196a5d544,2016-02,cash_back,827,excellent,26
C_ID_0199dde7dd,2016-12,cash_back,398,bad,73
C_ID_019a1f6bdc,2017-06,cash_back,302,bad,60
C_ID_019b19fd18,2015-11,dining_entertainment,842,excellent,20
C_ID_019c25c6a3,2017-05,cash_back,749,excellent,31
C_ID_019d2aa4ff,2016-11,travel,555,bad,50
C_ID_01a0597348,2017-05,cash_back,746,excellent,41
C_ID_01a31f8ffc,2016-08,cash_back,731,excellent,21
C_ID_01a43986a5,2017-10,cash_back,812,excellent,20
C_ID_01a446e38a,2016-11,cash_back,804,excellent,28
C_ID_01a4f0534a,2017-06,dining_entertainment,508,bad,25
C_ID_01abb53c1c,2017-06,travel,449,bad,85
C_ID_01ae60195e,2015-09,cash_back,820,excellent,31
C_ID_01b1051e5e,2017-08,cash_back,816,excellent,50
C_ID_01b1967c51,2017-07,cash_back,334,bad,73
C_ID_01b29e7c01,2017-08,cash_back,563,bad,69
C_ID_01b419e3d1,2017-04,cash_back,380,bad,46
C_ID_01b4c55312,2017-08,dining_entertainment,547,bad,25
C_ID_01b63ee664,2016-10,cash_back,624,bad,33
C_ID_01b65b4007,2017-10,cash_back,306,bad,32
C_ID_01b7a6a97c,2017-02,cash_back,354,bad,55
C_ID_01b90300a4,2017-09,cash_back,814,excellent,33
C_ID_01bb02bc9b,2016-12,cash_back,312,bad,44
C_ID_01bb62c056,2017-09,dining_entertainment,787,excellent,27
C_ID_01bc241fac,2017-03,dining_entertainment,394,bad,78
C_ID_01bc419b90,2017-02,cash_back,358,bad,55
C_ID_01be7e8895,2017-09,travel,847,excellent,73
C_ID_01c1a5c84c,2015-08,cash_back,791,excellent,34
C_ID_01c200b681,2017-05,dining_entertainment,812,excellent,60
C_ID_01c484102e,2016-08,cash_back,576,bad,37
C_ID_01c7ac9f44,2016-12,dining_entertainment,761,excellent,67
C_ID_01c93f8239,2014-12,cash_back,671,fair,23
C_ID_01cb5bf0cd,2016-04,dining_entertainment,567,bad,49
C_ID_01cf96f365,2015-10,cash_back,461,bad,49
C_ID_01d0dee2ab,2017-07,travel,785,excellent,33
C_ID_01d4cc5855,2016-10,dining_entertainment,781,excellent,52
C_ID_01d78e8370,2017-07,cash_back,449,bad,100
C_ID_01d7d6ea1d,2016-03,cash_back,616,bad,49
C_ID_01daa828f8,2017-09,cash_back,508,bad,96
C_ID_01db10c831,2016-04,cash_back,372,bad,61
C_ID_01dc72a2a0,2017-11,cash_back,380,bad,33
C_ID_01dc869004,2017-11,cash_back,737,excellent,23
C_ID_01de7e4979,2017-03,cash_back,334,bad,73
C_ID_01e093b686,2017-03,travel,766,excellent,69
C_ID_01e3376220,2016-12,travel,320,bad,65
C_ID_01e338896d,2017-09,dining_entertainment,621,bad,26
C_ID_01e340977e,2015-10,cash_back,459,bad,33
C_ID_01e366d478,2017-11,cash_back,479,bad,87
C_ID_01e3da6145,2017-05,dining_entertainment,436,bad,81
C_ID_01e431b645,2017-09,dining_entertainment,301,bad,19
C_ID_01e58e1475,2017-08,cash_back,314,bad,41
C_ID_01e5dba236,2015-09,cash_back,616,bad,28
C_ID_01e62f8875,2017-02,travel,438,bad,26
C_ID_01e7257607,2016-01,cash_back,412,bad,19
C_ID_01ea37f8f5,2016-10,travel,461,bad,21
C_ID_01ea8ea047,2017-09,cash_back,484,bad,20
C_ID_01ecacf527,2016-12,cash_back,820,excellent,42
C_ID_01ee34d59b,2017-02,dining_entertainment,841,excellent,51
C_ID_01f1eb142c,2017-11,cash_back,642,fair,27
C_ID_01f6b2bf74,2017-09,cash_back,383,bad,47
C_ID_01f7372826,2017-11,cash_back,720,excellent,53
C_ID_01f81a8601,2017-12,dining_entertainment,716,good,43
C_ID_01fa62c6e8,2016-12,dining_entertainment,529,bad,30
C_ID_01ffa2751a,2017-10,cash_back,779,excellent,29
C_ID_020402b961,2017-07,travel,840,excellent,49
C_ID_0206203e00,2016-06,cash_back,326,bad,45
C_ID_0206ca2ff8,2016-09,cash_back,547,bad,34
C_ID_0206f999c3,2017-09,cash_back,719,good,37
C_ID_02099a40c4,2017-09,cash_back,833,excellent,24
C_ID_0209b9aee3,2017-04,cash_back,545,bad,31
C_ID_020ae974ca,2017-04,cash_back,667,fair,28
C_ID_020caa3c52,2017-07,cash_back,694,good,50
C_ID_020ce20852,2015-06,travel,423,bad,72
C_ID_020f1161ba,2017-10,cash_back,591,bad,34
C_ID_0211004da6,2016-12,cash_back,726,excellent,51
C_ID_0211323f5e,2016-09,dining_entertainment,845,excellent,83
C_ID_021241588a,2017-07,cash_back,349,bad,35
C_ID_0212c2ae0b,2017-10,cash_back,740,excellent,20
C_ID_0213829725,2016-08,dining_entertainment,546,bad,68
C_ID_02146420f7,2017-09,cash_back,711,good,58
C_ID_02153f7565,2017-08,cash_back,638,fair,43
C_ID_0217753ef3,2015-05,travel,331,bad,55
C_ID_0217fe10fa,2017-12,cash_back,395,bad,23
C_ID_0218e97381,2016-11,cash_back,331,bad,39
C_ID_0219320b89,2017-02,travel,331,bad,63
C_ID_0219a591d5,2017-05,travel,374,bad,29
C_ID_0219c1f750,2014-04,cash_back,313,bad,45
C_ID_021f7e7e36,2017-08,travel,728,excellent,25
C_ID_0224069a99,2016-05,cash_back,702,good,44
C_ID_022421d026,2017-09,cash_back,399,bad,38
C_ID_02243372b2,2015-04,cash_back,720,excellent,56
C_ID_0224a8f43c,2017-04,travel,773,excellent,39
C_ID_0225b7a3a0,2017-01,cash_back,655,fair,84
C_ID_022a9cfef9,2016-05,dining_entertainment,380,bad,61
C_ID_022b48f3ac,2016-11,dining_entertainment,833,excellent,79
C_ID_022b7d73e6,2017-04,cash_back,846,excellent,22
C_ID_022bb2b3e7,2016-08,cash_back,778,excellent,31
C_ID_022bfc3094,2017-04,cash_back,473,bad,53
C_ID_022d32ff14,2017-09,cash_back,806,excellent,47
C_ID_022d801273,2016-04,cash_back,694,good,65
C_ID_022e58599f,2015-02,dining_entertainment,471,bad,38
C_ID_022f1a032d,2017-09,travel,367,bad,53
C_ID_02343cd53f,2017-05,cash_back,671,fair,67
C_ID_02367f531e,2017-02,cash_back,341,bad,40
C_ID_0236aa79e9,2017-11,cash_back,362,bad,45
C_ID_0236f2c01a,2017-12,dining_entertainment,704,good,77
C_ID_023a0db893,2015-07,travel,609,bad,44
C_ID_023cb2ad47,2015-11,cash_back,468,bad,99
C_ID_023d7a2f6c,2017-07,cash_back,504,bad,19
C_ID_023ee72d50,2017-05,dining_entertainment,582,bad,80
C_ID_023fe3843f,2017-04,cash_back,811,excellent,30
C_ID_0240cce8f8,2017-11,cash_back,664,fair,40
C_ID_02441ca088,2017-10,cash_back,696,good,31
C_ID_0244700f85,2016-12,travel,507,bad,75
C_ID_0247973751,2017-05,dining_entertainment,321,bad,63
C_ID_0249dd9479,2017-09,travel,475,bad,22
C_ID_024b5a13b7,2017-10,travel,324,bad,49
C_ID_024bf1d00e,2017-06,cash_back,351,bad,61
C_ID_024c860978,2017-07,cash_back,484,bad,65
C_ID_024f6b4f6b,2016-12,cash_back,785,excellent,51
C_ID_024fcecb4d,2017-06,dining_entertainment,741,excellent,38
C_ID_02506cd49b,2017-02,cash_back,660,fair,55
C_ID_025163db79,2017-07,cash_back,649,fair,25
C_ID_025306aa6c,2017-10,dining_entertainment,692,good,39
C_ID_0254628688,2017-10,dining_entertainment,320,bad,31
C_ID_02554c0ceb,2014-07,travel,798,excellent,34
C_ID_02556a66df,2017-09,cash_back,579,bad,65
C_ID_0256a0214b,2016-11,cash_back,745,excellent,57
C_ID_0257b4e0c0,2017-01,cash_back,585,bad,30
C_ID_0259184469,2016-12,cash_back,471,bad,76
C_ID_02592a22af,2017-09,travel,330,bad,20
C_ID_0259ad8a27,2017-06,travel,617,bad,87
C_ID_025d464f9e,2016-12,cash_back,302,bad,72
C_ID_025d90d2a4,2017-08,cash_back,703,good,50
C_ID_025f21cf73,2017-10,travel,831,excellent,26
C_ID_026092c865,2015-11,travel,515,bad,35
C_ID_02635b4dcb,2016-07,cash_back,660,fair,59
C_ID_026376a0fb,2016-09,cash_back,330,bad,36
C_ID_0267304a12,2017-06,cash_back,837,excellent,56
C_ID_0269899d2e,2017-08,cash_back,502,bad,100
C_ID_026a127f4d,2016-08,cash_back,317,bad,50
C_ID_0272e219db,2016-06,cash_back,596,bad,50
C_ID_02733dc6a2,2017-10,cash_back,760,excellent,19
C_ID_0274c0c93e,2017-09,cash_back,558,bad,63
C_ID_0274f0b750,2015-09,cash_back,450,bad,44
C_ID_02756811c6,2017-01,cash_back,835,excellent,58
C_ID_0275699ee2,2017-11,travel,327,bad,54
C_ID_027658b630,2017-05,cash_back,352,bad,73
C_ID_0277654573,2017-09,cash_back,693,good,72
C_ID_0278518850,2017-11,travel,359,bad,26
C_ID_02798dd1e4,2017-08,cash_back,422,bad,75
C_ID_0279963625,2017-01,cash_back,426,bad,37
C_ID_027b53ef63,2016-07,cash_back,379,bad,42
C_ID_027b991ae1,2016-06,cash_back,727,excellent,76
C_ID_027ba5b20c,2017-12,dining_entertainment,491,bad,24
C_ID_027ea900c0,2016-08,cash_back,500,bad,46
C_ID_027f37fa0d,2017-03,cash_back,575,bad,68
C_ID_027fd0563f,2017-08,cash_back,680,fair,52
C_ID_0280fdb305,2017-07,dining_entertainment,554,bad,27
C_ID_0283f321f3,2017-03,cash_back,501,bad,63
C_ID_02851faeec,2017-06,cash_back,483,bad,21
C_ID_02865fd24c,2015-12,dining_entertainment,550,bad,61
C_ID_0286b21e64,2017-03,cash_back,706,good,79
C_ID_02878bcad9,2017-07,dining_entertainment,678,fair,23
C_ID_0287de5407,2017-06,cash_back,307,bad,24
C_ID_02889d5fbb,2016-09,cash_back,519,bad,62
C_ID_028a4d808e,2016-11,travel,581,bad,68
C_ID_028a88a7ae,2017-04,cash_back,821,excellent,61
C_ID_028bac02d4,2017-10,cash_back,648,fair,77
C_ID_02917e9592,2017-07,cash_back,803,excellent,28
C_ID_0291cf9e39,2016-09,cash_back,668,fair,34
C_ID_0292897d58,2014-02,cash_back,308,bad,22
C_ID_0293d3ee54,2016-12,dining_entertainment,838,excellent,37
C_ID_02941bd488,2017-04,cash_back,371,bad,92
C_ID_02946cad5a,2017-06,dining_entertainment,591,bad,80
C_ID_02950a95bb,2015-11,cash_back,308,bad,18
C_ID_029530d99c,2017-12,cash_back,470,bad,27
C_ID_0295cd3cc1,2016-09,cash_back,406,bad,33
C_ID_0296a07876,2017-06,cash_back,674,fair,43
C_ID_02975f9c8f,2017-11,travel,719,good,55
C_ID_02993521e3,2015-06,travel,768,excellent,48
C_ID_0299d05d4a,2017-12,cash_back,677,fair,52
C_ID_029c492220,2017-08,cash_back,557,bad,57
C_ID_029d84e560,2017-10,travel,656,fair,57
C_ID_029e61b36e,2017-01,cash_back,846,excellent,27
C_ID_02a09496ca,2017-09,travel,361,bad,34
C_ID_02a27cef02,2017-05,travel,662,fair,21
C_ID_02a84b3d82,2017-08,cash_back,664,fair,82
C_ID_02a8c5c124,2016-06,cash_back,377,bad,19
C_ID_02a8e96344,2017-09,dining_entertainment,847,excellent,31
C_ID_02a9d08a53,2015-01,dining_entertainment,364,bad,50
C_ID_02ad43db9b,2017-08,cash_back,305,bad,42
C_ID_02adfb2085,2017-08,cash_back,383,bad,38
C_ID_02afa14d8a,2016-06,travel,796,excellent,24
C_ID_02b0ab96a2,2016-05,travel,675,fair,64
C_ID_02b0d7a81e,2016-10,dining_entertainment,445,bad,28
C_ID_02b51bbf81,2017-02,cash_back,788,excellent,83
C_ID_02b5750027,2017-12,cash_back,357,bad,30
C_ID_02b81ea44e,2016-05,travel,665,fair,29
C_ID_02b89898a9,2016-08,cash_back,849,excellent,56
C_ID_02ba66387d,2017-04,travel,471,bad,94
C_ID_02bad9c0f6,2016-09,cash_back,845,excellent,20
C_ID_02bb4d888b,2016-04,cash_back,518,bad,36
C_ID_02bb5bec35,2016-10,cash_back,571,bad,80
C_ID_02bc47cb86,2016-06,cash_back,553,bad,44
C_ID_02bcc0262e,2017-10,travel,581,bad,25
C_ID_02bd0d0384,2017-05,cash_back,670,fair,69
C_ID_02bd1c4210,2016-06,cash_back,367,bad,35
C_ID_02be84f6d0,2017-10,dining_entertainment,450,bad,46
C_ID_02be950a2c,2017-11,dining_entertainment,840,excellent,18
C_ID_02befa9bf6,2017-10,cash_back,327,bad,24
C_ID_02c156a33d,2017-07,travel,547,bad,29
C_ID_02c302d5ca,2017-10,cash_back,515,bad,26
C_ID_02c5731652,2016-12,cash_back,657,fair,84
C_ID_02ca26ce62,2017-02,cash_back,468,bad,19
C_ID_02ca5e4fb3,2017-09,cash_back,654,fair,52
C_ID_02cb9f277c,2017-09,cash_back,710,good,21
C_ID_02cce9b3a0,2017-09,cash_back,422,bad,29
C_ID_02cdc985b5,2017-11,travel,380,bad,40
