since_first_active_month_parsed_days,reward_int,cardholder_fico_score,Range_int,cardholder_age
3101,1,616,0,49
2552,1,508,0,96
3070,1,372,0,61
2491,1,380,0,33
2491,1,737,3,23
2736,1,334,0,73
2736,0,766,3,69
2826,0,320,0,65
2552,2,621,0,26
3253,1,459,0,33
2491,1,479,0,87
2675,2,436,0,81
2552,2,301,0,19
2583,1,314,0,41
3283,1,616,0,28
2764,0,438,0,26
3161,1,412,0,19
2887,0,461,0,21
2552,1,484,0,20
2826,1,820,3,42
2764,2,841,3,51
2491,1,642,1,27
2552,1,383,0,47
2491,1,720,3,53
2461,2,716,2,43
2826,2,529,0,30
2522,1,779,3,29
2614,0,840,3,49
3009,1,326,0,45
2917,1,547,0,34
2552,1,719,2,37
2552,1,833,3,24
2705,1,545,0,31
2705,1,667,1,28
2614,1,694,2,50
3375,0,423,0,72
2522,1,591,0,34
2826,1,726,3,51
2917,2,845,3,83
2614,1,349,0,35
2522,1,740,3,20
2948,2,546,0,68
2552,1,711,2,58
2583,1,638,1,43
3406,0,331,0,55
2461,1,395,0,23
2856,1,331,0,39
2764,0,331,0,63
2675,0,374,0,29
3801,1,313,0,45
2583,0,728,3,25
3040,1,702,2,44
2552,1,399,0,38
3436,1,720,3,56
2705,0,773,3,39
2795,1,655,1,84
3040,2,380,0,61
2856,2,833,3,79
2705,1,846,3,22
2948,1,778,3,31
2705,1,473,0,53
2552,1,806,3,47
3070,1,694,2,65
3495,2,471,0,38
2552,0,367,0,53
2675,1,671,1,67
2764,1,341,0,40
2491,1,362,0,45
2461,2,704,2,77
3345,0,609,0,44
3222,1,468,0,99
2614,1,504,0,19
2675,2,582,0,80
2705,1,811,3,30
2491,1,664,1,40
2522,1,696,2,31
2826,0,507,0,75
2675,2,321,0,63
2552,0,475,0,22
2522,0,324,0,49
2644,1,351,0,61
2614,1,484,0,65
2826,1,785,3,51
2644,2,741,3,38
2764,1,660,1,55
2614,1,649,1,25
2522,2,692,2,39
2522,2,320,0,31
3710,0,798,3,34
2552,1,579,0,65
2856,1,745,3,57
2795,1,585,0,30
2826,1,471,0,76
2552,0,330,0,20
2644,0,617,0,87
2826,1,302,0,72
2583,1,703,2,50
2522,0,831,3,26
3222,0,515,0,35
2979,1,660,1,59
2917,1,330,0,36
2644,1,837,3,56
2583,1,502,0,100
2948,1,317,0,50
3009,1,596,0,50
2522,1,760,3,19
2552,1,558,0,63
3283,1,450,0,44
2795,1,835,3,58
2491,0,327,0,54
2675,1,352,0,73
2552,1,693,2,72
2491,0,359,0,26
2583,1,422,0,75
2795,1,426,0,37
2979,1,379,0,42
3009,1,727,3,76
2461,2,491,0,24
2948,1,500,0,46
2736,1,575,0,68
2583,1,680,1,52
2614,2,554,0,27
2736,1,501,0,63
2644,1,483,0,21
3192,2,550,0,61
2736,1,706,2,79
2614,2,678,1,23
2644,1,307,0,24
2917,1,519,0,62
2856,0,581,0,68
2705,1,821,3,61
2522,1,648,1,77
2614,1,803,3,28
2917,1,668,1,34
3860,1,308,0,22
2826,2,838,3,37
2705,1,371,0,92
2644,2,591,0,80
3222,1,308,0,18
2461,1,470,0,27
2917,1,406,0,33
2644,1,674,1,43
2491,0,719,2,55
3375,0,768,3,48
2461,1,677,1,52
2583,1,557,0,57
2522,0,656,1,57
2795,1,846,3,27
2552,0,361,0,34
2675,0,662,1,21
2583,1,664,1,82
3009,1,377,0,19
2552,2,847,3,31
3526,2,364,0,50
2583,1,305,0,42
2583,1,383,0,38
3009,0,796,3,24
3040,0,675,1,64
2887,2,445,0,28
2764,1,788,3,83
2461,1,357,0,30
3040,0,665,1,29
2948,1,849,3,56
2705,0,471,0,94
2917,1,845,3,20
3070,1,518,0,36
2887,1,571,0,80
3009,1,553,0,44
2522,0,581,0,25
2675,1,670,1,69
3009,1,367,0,35
2522,2,450,0,46
2491,2,840,3,18
2522,1,327,0,24
2614,0,547,0,29
2522,1,515,0,26
2826,1,657,1,84
2764,1,468,0,19
2552,1,654,1,52
2552,1,710,2,21
2552,1,422,0,29
2491,0,380,0,40
2736,0,834,3,31
2644,1,737,3,69
2583,1,312,0,22
2491,1,768,3,19
3467,1,466,0,73
2552,1,680,1,73
2461,2,757,3,24
3040,2,305,0,27
2705,1,744,3,61
2491,2,602,0,48
2736,0,726,3,48
2491,1,817,3,38
2491,0,696,2,30
2675,0,573,0,60
2736,1,589,0,71
3375,1,307,0,18
2764,1,709,2,86
2583,1,767,3,33
2583,0,816,3,25
3192,1,673,1,34
2644,0,372,0,61
2644,2,806,3,37
2614,0,389,0,57
2736,1,718,2,38
2705,1,380,0,31
2675,1,627,0,51
2614,1,451,0,21
2826,1,541,0,50
3009,1,527,0,76
2644,1,802,3,43
2826,1,418,0,40
2826,0,832,3,33
2856,1,593,0,38
2887,0,411,0,53
2491,1,730,3,49
2826,2,822,3,88
2887,1,324,0,78
2764,2,723,3,95
3009,0,688,1,34
2826,1,315,0,33
2644,1,361,0,36
2491,2,727,3,64
2795,1,366,0,27
2491,1,744,3,37
2736,2,433,0,39
2736,1,683,1,80
2795,0,337,0,45
2614,0,722,3,40
2583,1,703,2,47
2644,1,316,0,21
3009,0,345,0,53
2552,0,748,3,21
2644,1,589,0,77
2675,1,533,0,63
2795,1,552,0,86
2826,1,432,0,39
2736,1,841,3,41
2583,1,751,3,34
2736,0,721,3,39
2522,1,617,0,46
2644,1,520,0,31
2736,0,529,0,64
2979,1,403,0,45
2614,1,741,3,58
3101,1,759,3,31
2522,2,768,3,41
3040,0,768,3,66
2826,1,464,0,61
2887,1,409,0,54
3040,1,329,0,31
2705,0,797,3,39
2583,2,611,0,19
2552,2,615,0,75
2764,1,482,0,68
3648,1,494,0,86
3375,2,708,2,45
2583,2,611,0,37
2644,1,722,3,68
2917,0,547,0,42
2705,0,330,0,36
2675,1,510,0,59
2826,1,849,3,79
2948,1,654,1,44
2705,1,509,0,18
2675,2,602,0,48
2705,1,609,0,44
2644,0,654,1,19
3009,1,404,0,45
2522,1,842,3,26
2887,2,723,3,56
3283,1,645,1,48
2764,1,584,0,81
3040,1,728,3,32
2764,2,635,1,52
2614,1,842,3,32
2461,2,552,0,89
2826,1,534,0,88
2644,1,533,0,48
3495,1,461,0,51
2583,0,681,1,47
2826,2,845,3,58
2461,1,612,0,72
2675,1,604,0,46
2552,1,614,0,41
2887,1,626,0,61
2705,1,316,0,67
2552,0,401,0,28
2491,1,694,2,48
3345,1,501,0,38
3192,1,386,0,29
2736,1,715,2,24
2461,1,604,0,25
2614,1,519,0,97
3771,1,761,3,30
2979,1,547,0,48
2491,0,578,0,27
2764,1,325,0,82
2461,2,702,2,28
2917,0,742,3,57
2552,1,646,1,28
2461,1,835,3,40
2491,1,665,1,29
2522,1,731,3,22
2461,1,611,0,72
2614,1,462,0,69
2705,1,349,0,25
3253,0,386,0,60
3648,1,666,1,29
2491,2,793,3,22
2491,0,500,0,99
2583,0,649,1,49
2826,2,694,2,19
2522,1,449,0,25
2705,1,394,0,21
2614,2,398,0,69
3101,2,580,0,26
2948,1,699,2,79
2614,1,330,0,44
2887,2,601,0,23
2795,2,706,2,19
2583,1,425,0,49
2764,1,359,0,40
2826,1,784,3,48
2552,1,371,0,64
2736,1,519,0,41
2979,1,480,0,46
2764,1,429,0,21
3070,1,626,0,70
2764,1,374,0,30
2491,2,502,0,68
2795,1,779,3,50
2736,1,379,0,31
2491,1,703,2,25
2583,2,849,3,60
2736,2,357,0,27
3130,0,347,0,37
2826,1,845,3,37
2675,1,797,3,45
2461,1,720,3,69
2614,1,529,0,67
2522,1,559,0,29
3040,0,767,3,28
2826,1,751,3,86
2675,1,816,3,64
2856,1,474,0,63
2552,1,714,2,18
4075,1,389,0,22
2644,1,351,0,25
2491,2,329,0,84
2461,1,546,0,51
2583,2,372,0,69
2491,1,367,0,22
2583,1,644,1,67
2764,1,317,0,41
3009,1,380,0,50
2552,1,618,0,20
2856,1,367,0,62
2979,1,517,0,55
3648,1,713,2,34
2552,0,362,0,24
2461,0,546,0,46
2795,2,763,3,30
3314,2,526,0,26
2583,2,800,3,55
2795,1,619,0,64
2552,1,661,1,30
2583,1,322,0,28
2917,0,512,0,53
2795,2,416,0,75
2583,1,600,0,99
2644,2,478,0,19
2552,1,685,1,63
3040,0,335,0,44
2675,1,590,0,33
2736,1,792,3,47
2736,0,714,2,44
2614,0,820,3,21
3375,1,467,0,29
2614,1,743,3,48
3406,1,687,1,37
2583,0,451,0,74
2583,1,712,2,43
2795,1,798,3,26
2583,1,791,3,67
2705,1,834,3,33
2522,1,802,3,31
2675,1,832,3,77
3161,1,330,0,27
2675,2,512,0,59
2856,1,636,1,32
2522,1,650,1,82
2764,1,365,0,19
2491,0,718,2,25
2764,1,636,1,44
2736,0,660,1,64
2522,1,546,0,89
2461,1,404,0,21
2736,0,505,0,44
3040,1,665,1,32
3283,1,823,3,22
3040,1,528,0,68
2675,1,309,0,62
2583,0,519,0,38
3101,1,308,0,33
2887,2,748,3,91
2583,2,737,3,25
2614,1,680,1,49
2856,0,788,3,66
2461,0,601,0,23
2522,1,510,0,45
2552,1,658,1,69
2856,2,486,0,26
2644,0,602,0,43
2552,1,833,3,23
2887,2,840,3,33
2795,2,699,2,74
2491,1,743,3,34
2522,1,323,0,19
2552,0,797,3,33
2856,2,329,0,27
2705,0,570,0,52
2948,0,325,0,24
2614,1,469,0,40
2856,1,461,0,24
3495,1,607,0,72
2552,2,515,0,34
2522,2,740,3,37
3860,1,712,2,38
2552,1,521,0,29
2583,1,336,0,22
2856,1,780,3,26
2461,2,449,0,31
2552,1,509,0,48
3345,0,465,0,41
2795,0,351,0,52
2826,2,649,1,21
2491,1,822,3,44
2948,2,657,1,54
2979,1,823,3,53
2826,1,850,3,34
2644,0,584,0,51
3070,1,712,2,24
2795,2,540,0,27
2826,0,688,1,50
2736,2,337,0,46
2614,1,444,0,36
2795,1,752,3,43
3253,1,407,0,80
2736,1,586,0,82
2552,1,805,3,26
3467,1,421,0,48
2522,2,385,0,98
2491,1,594,0,37
2979,1,468,0,75
2826,2,348,0,48
2583,1,523,0,66
3192,2,627,0,26
2764,1,417,0,94
3009,1,847,3,45
2736,1,831,3,83
2948,1,682,1,43
2552,1,302,0,66
3009,1,555,0,88
2795,1,736,3,21
3130,1,807,3,24
3192,2,687,1,25
2583,1,690,2,19
2675,0,510,0,98
2705,1,349,0,63
3161,0,794,3,24
2795,0,424,0,22
2614,2,670,1,24
2736,1,441,0,34
2644,1,464,0,73
2736,1,767,3,34
3009,2,608,0,64
2764,2,726,3,85
2675,1,732,3,40
2461,1,503,0,72
2948,1,599,0,97
2948,1,411,0,19
3283,1,713,2,59
2736,1,305,0,25
2856,0,348,0,37
3161,1,640,1,81
2675,0,675,1,52
2491,1,568,0,76
2887,1,671,1,21
2614,1,415,0,20
2887,1,447,0,47
2461,0,420,0,58
2491,1,508,0,38
2887,1,710,2,39
2491,0,755,3,23
2795,1,808,3,30
2917,1,449,0,58
2552,1,653,1,55
2644,1,373,0,30
2979,1,848,3,67
2491,0,338,0,30
2552,1,445,0,46
2856,1,363,0,31
2644,0,380,0,55
2583,1,361,0,25
2979,1,646,1,97
2583,1,629,0,96
2948,1,805,3,43
2979,2,354,0,29
2552,0,366,0,66
3618,1,757,3,46
3101,1,831,3,37
2522,2,588,0,27
2614,2,696,2,49
2614,2,347,0,57
3618,1,354,0,36
2491,2,829,3,38
3467,0,357,0,40
3557,1,522,0,32
2644,2,744,3,88
2948,2,321,0,24
2552,1,651,1,30
2614,1,648,1,29
2491,2,409,0,65
3161,1,677,1,80
2795,2,646,1,80
3070,2,419,0,34
2644,0,492,0,27
2614,1,555,0,77
2675,1,629,0,46
2887,1,398,0,54
2583,1,575,0,78
3253,1,657,1,73
2795,0,829,3,46
2795,2,315,0,29
3070,2,542,0,45
2764,2,339,0,23
2522,0,677,1,82
2614,1,499,0,26
2856,0,610,0,44
3130,2,609,0,22
2887,2,592,0,60
3891,1,418,0,62
2979,1,603,0,62
3222,0,803,3,61
2614,2,359,0,49
2491,0,799,3,30
3192,1,813,3,64
2979,1,352,0,61
2644,1,485,0,26
2948,1,319,0,52
2764,1,445,0,42
2614,1,656,1,72
2583,1,841,3,33
2795,0,418,0,26
3222,1,593,0,90
2736,2,485,0,80
2522,1,349,0,49
2705,0,366,0,81
2461,2,822,3,77
2522,1,320,0,52
2887,1,641,1,58
2736,1,850,3,62
2614,0,305,0,74
2522,1,471,0,96
2522,1,456,0,18
2552,0,483,0,81
3009,0,845,3,28
2614,2,396,0,26
2614,1,774,3,89
2705,1,489,0,75
3009,1,830,3,22
2675,0,395,0,46
2552,1,515,0,56
2522,1,358,0,28
2644,1,671,1,23
3070,1,409,0,40
2675,1,329,0,36
2705,2,824,3,75
2491,1,314,0,48
2948,1,621,0,75
2644,2,443,0,79
2887,2,799,3,27
2826,2,577,0,18
2644,1,635,1,57
2461,1,670,1,29
2583,2,539,0,53
3101,1,742,3,45
2583,0,833,3,54
2856,0,656,1,25
2764,1,799,3,74
2675,2,718,2,53
2522,1,533,0,41
2675,1,735,3,36
2522,1,664,1,21
2979,2,729,3,44
3587,1,447,0,93
2764,1,339,0,44
2583,1,645,1,62
2736,1,447,0,62
2826,1,601,0,44
2979,1,597,0,55
2705,0,670,1,43
3040,1,483,0,84
3040,0,533,0,75
2705,0,312,0,48
2522,1,804,3,36
2917,1,429,0,80
3192,2,402,0,77
3070,1,618,0,49
2614,2,613,0,57
2644,1,326,0,98
2826,1,332,0,21
2736,1,666,1,49
3891,1,363,0,43
2644,1,598,0,43
2614,1,395,0,29
2764,1,553,0,94
2552,1,430,0,26
2948,0,420,0,22
2826,1,610,0,25
3557,2,395,0,38
2675,1,662,1,61
2522,0,679,1,49
2856,1,695,2,22
2522,1,594,0,93
2614,1,377,0,37
2461,1,736,3,35
2705,1,611,0,41
2948,1,732,3,87
2552,0,509,0,41
2948,0,741,3,20
3009,1,349,0,37
2675,1,846,3,33
2491,0,395,0,64
2675,0,684,1,45
2491,1,478,0,31
2764,1,532,0,48
3801,0,342,0,53
2979,0,633,1,80
2795,1,815,3,27
2644,1,720,3,35
2826,2,679,1,34
2614,0,739,3,84
2644,1,752,3,37
3526,1,513,0,64
2614,1,682,1,46
2614,0,434,0,95
2461,1,486,0,38
2583,1,615,0,26
2583,0,745,3,23
3495,1,556,0,23
2736,0,363,0,40
2675,1,584,0,49
2764,0,746,3,36
2644,1,849,3,42
2917,2,710,2,19
2522,1,745,3,19
3101,1,681,1,43
2705,2,641,1,26
2583,2,320,0,28
2552,0,312,0,41
2614,1,677,1,72
2583,1,571,0,26
2552,1,586,0,54
2826,1,850,3,32
2795,2,442,0,98
2583,0,307,0,54
2583,2,523,0,82
4197,1,668,1,71
2522,1,660,1,59
2522,2,834,3,36
2491,2,620,0,98
2461,1,373,0,29
3009,1,757,3,27
3526,1,428,0,30
2979,1,352,0,21
3161,1,457,0,37
2795,2,586,0,51
2491,2,461,0,70
3192,2,724,3,70
3040,0,723,3,89
2552,1,485,0,91
2583,0,745,3,67
2491,1,518,0,51
2826,2,391,0,43
2614,1,446,0,47
2491,1,440,0,98
3101,1,719,2,53
2461,0,549,0,50
2491,1,475,0,38
2764,1,768,3,65
2887,2,570,0,27
2461,1,611,0,23
2795,1,826,3,45
2552,1,580,0,29
2736,1,348,0,35
2644,0,594,0,61
2491,2,730,3,53
2491,0,587,0,46
3253,1,682,1,64
2461,1,439,0,50
2856,2,539,0,20
2856,1,797,3,19
2764,2,452,0,39
2491,1,392,0,71
2461,1,822,3,30
2705,1,479,0,97
2522,1,379,0,35
2856,1,521,0,76
2705,0,816,3,38
2856,0,663,1,44
2826,2,398,0,38
2491,0,406,0,67
2705,1,811,3,33
2522,0,649,1,68
3345,2,332,0,19
2461,1,820,3,21
2552,2,633,1,68
2614,1,674,1,31
3192,1,725,3,45
2675,0,494,0,36
2887,1,610,0,80
2461,0,359,0,36
2583,0,375,0,81
2826,1,385,0,32
2856,1,370,0,23
2491,2,310,0,43
3040,1,670,1,39
2917,1,609,0,48
3283,1,768,3,50
2461,1,791,3,40
2979,1,401,0,50
2552,1,624,0,19
2614,1,688,1,77
2491,2,527,0,45
2979,0,459,0,22
2461,2,418,0,31
2491,1,445,0,53
2522,1,840,3,22
2795,2,603,0,31
2614,1,329,0,82
2491,1,793,3,44
2583,1,550,0,19
2644,1,302,0,34
2856,1,720,3,32
3070,0,729,3,84
2826,0,686,1,86
2705,0,502,0,89
2764,1,618,0,77
2979,1,707,2,32
2491,1,725,3,56
2644,1,692,2,26
2887,1,736,3,68
2979,0,519,0,30
2795,1,392,0,28
3467,2,561,0,44
2491,1,847,3,25
2614,1,534,0,47
2675,1,475,0,45
2461,1,611,0,41
2583,2,419,0,25
2461,1,401,0,35
3040,2,484,0,50
4256,2,358,0,81
2736,1,789,3,24
3192,1,440,0,64
3222,1,594,0,70
2583,2,693,2,99
2614,0,525,0,55
3009,1,765,3,33
2795,1,682,1,59
2644,1,827,3,39
2705,1,626,0,53
2583,0,838,3,18
2461,1,611,0,53
2887,0,820,3,46
2705,1,723,3,60
2764,2,777,3,28
2675,1,499,0,59
2675,0,429,0,61
3771,1,718,2,22
2795,1,479,0,31
2552,0,608,0,41
2522,1,665,1,34
2856,1,766,3,18
2795,1,778,3,49
2552,1,631,1,75
3345,1,835,3,27
2948,1,785,3,24
2675,1,667,1,61
2856,2,755,3,79
2583,1,464,0,27
3253,1,327,0,73
2826,0,634,1,53
2887,0,781,3,38
2644,0,702,2,21
2522,2,810,3,32
2736,1,530,0,42
2552,1,741,3,28
2614,0,537,0,56
2795,1,437,0,84
2644,2,779,3,29
2644,1,664,1,25
2826,2,621,0,58
2644,1,337,0,91
3406,1,485,0,73
2552,0,719,2,86
2614,1,821,3,44
2644,2,784,3,46
2764,1,748,3,20
3040,0,712,2,33
3009,1,470,0,55
2979,2,769,3,33
2705,1,627,0,60
2461,1,427,0,24
2764,1,347,0,36
2979,1,744,3,19
2705,1,777,3,59
2552,1,528,0,45
2522,1,419,0,20
2583,1,587,0,65
2675,1,844,3,51
2705,1,737,3,52
3101,1,377,0,92
2644,1,513,0,60
2614,1,606,0,37
2522,0,598,0,49
2522,1,728,3,59
3222,0,402,0,19
2552,0,829,3,50
3070,0,721,3,57
2917,1,836,3,27
2826,0,617,0,96
2614,1,448,0,20
2675,1,382,0,20
3253,1,742,3,60
3345,1,397,0,36
2552,1,608,0,30
2764,1,770,3,89
2461,2,340,0,39
2795,0,350,0,33
2705,1,417,0,59
2917,1,458,0,64
2461,0,449,0,41
2887,2,693,2,45
2979,0,720,3,35
2675,0,791,3,48
2948,0,820,3,21
2614,1,537,0,87
2583,0,698,2,25
2522,0,503,0,35
2522,1,433,0,47
2675,0,706,2,45
2491,1,597,0,48
2705,1,518,0,75
3009,1,826,3,46
2644,1,516,0,95
2614,1,601,0,67
2948,2,544,0,44
2552,1,490,0,36
2675,2,303,0,55
2826,0,301,0,34
2552,0,812,3,48
2826,1,312,0,33
3070,0,590,0,71
4317,1,694,2,23
2795,1,500,0,98
2491,1,840,3,78
2491,0,472,0,99
3161,1,726,3,27
2491,1,508,0,20
2764,1,541,0,19
2887,2,622,0,22
2675,2,310,0,37
2736,2,327,0,28
2948,1,658,1,27
2552,2,627,0,56
2675,1,490,0,41
2795,1,313,0,29
2705,1,533,0,52
2583,2,402,0,29
2705,2,357,0,40
2979,2,718,2,59
2491,1,367,0,41
2461,1,839,3,72
2795,2,730,3,40
2856,2,552,0,78
2795,1,376,0,47
2795,1,542,0,51
2522,1,535,0,92
2856,2,452,0,65
2461,1,505,0,25
2522,1,737,3,73
3009,0,398,0,54
2583,1,518,0,77
3101,2,570,0,59
2461,2,534,0,30
3222,2,363,0,85
2614,1,789,3,20
2614,0,370,0,50
2552,2,451,0,38
2736,1,577,0,47
2491,1,641,1,38
2705,1,553,0,79
2764,1,711,2,51
2522,0,815,3,49
2522,0,620,0,99
2491,1,607,0,26
2675,1,707,2,53
2736,1,848,3,59
2736,1,379,0,42
2461,0,820,3,21
2948,1,531,0,53
2826,1,842,3,27
2583,2,605,0,26
2764,1,557,0,61
2826,1,830,3,72
2552,0,572,0,24
2614,0,576,0,32
3860,0,572,0,53
2764,1,826,3,26
2491,1,554,0,93
3283,0,645,1,29
2522,1,583,0,41
2979,1,631,1,20
2614,2,455,0,39
3771,1,747,3,19
2522,0,574,0,20
2705,0,305,0,33
2583,1,495,0,99
2461,0,842,3,28
2795,1,362,0,25
2461,1,317,0,20
2675,1,348,0,33
2705,1,601,0,26
2917,1,394,0,65
2614,2,536,0,54
3161,1,625,0,95
2675,1,801,3,58
2552,1,716,2,53
2856,2,764,3,46
2826,2,569,0,88
3314,2,482,0,64
2979,1,732,3,37
2614,2,725,3,44
2856,1,608,0,21
2491,1,744,3,33
2856,2,538,0,74
2583,1,532,0,92
2522,2,629,0,47
2764,0,659,1,32
3467,1,423,0,36
3192,1,799,3,29
2856,1,430,0,52
2948,1,324,0,94
2522,1,370,0,27
3040,2,728,3,94
2583,2,584,0,40
2736,1,448,0,97
2675,1,338,0,55
2461,1,427,0,19
3345,2,798,3,41
2644,0,390,0,32
2705,2,344,0,53
2522,2,666,1,29
2522,1,500,0,45
3009,1,420,0,90
2736,1,334,0,30
3436,0,332,0,41
3009,1,367,0,49
2522,0,620,0,31
2461,1,766,3,31
2948,0,775,3,44
